osm_id,ktCO2,ktC,mean_cars
1046077064,0.01,0.12,490.94
104652096,0.01,0.14,472.86
1046553441,0.01,0.18,506.77
1046898637,0,0,545.8
1047532707,0,0.02,484.29
104765107,0.01,0.19,538.27
1047690000,0,0.02,538.52
1049301215,0,0.01,394.31
1049629915,0,0.01,506.71
1049629916,0,0.05,508.66
1049629917,0,0.02,482.76
1049867539,0,0.03,364.94
1050034277,0,0.07,396.32
1050158925,0,0.06,368.45
1050158926,0,0.02,329.78
1050165994,0,0.02,363.1
1050165995,0,0.08,361.64
1050165997,0,0.04,365.78
1050165998,0,0.04,546.34
1050190292,0,0.04,495.49
1050198732,0,0.02,496.31
1050198733,0,0.03,499.5
1050276921,0.01,0.19,505.4
1050276922,0,0.03,532.28
1050276923,0,0.05,536.58
1050686755,0.01,0.18,350.21
1050686757,0.01,0.13,355.44
1050732690,0.01,0.19,489.95
1050733757,0.01,0.23,488.01
1050737336,0,0.09,492.29
1050818238,0,0.09,441.47
1050818239,0,0.06,440.96
1050917433,0,0.06,474.58
1050922323,0,0.06,493.27
1050922329,0.01,0.18,483.91
1051139087,0,0.02,485.81
1051204417,0.01,0.14,566.15
1051263372,0,0.02,478.71
1051375258,0.01,0.17,255.4
1051520956,0.01,0.29,485.17
1051520963,0,0.05,566.24
1051728169,0,0.03,488.63
1051728256,0,0.05,475.49
1051777172,0,0.05,486.27
1051828651,0,0.07,549.45
1051828652,0,0.04,482.55
1051974749,0,0.04,500.76
1052128950,0,0.02,491.36
1052527295,0.02,0.47,481.9
1052598013,0.01,0.12,520.68
1052598014,0,0.08,483.28
1052678249,0,0.03,544.25
1052921138,0,0.05,356.24
1052921139,0,0.03,358.81
1052921140,0,0.07,408.42
1053079467,0,0.02,511.19
1053404351,0,0.05,537.83
105352753,0,0.01,544.19
105352762,0,0.03,488.75
1053619182,0,0.01,341.59
1053619183,0,0.03,515.9
1054066180,0,0.01,508.07
1054066181,0,0.01,508.07
1054161872,0,0.05,615.68
1054211333,0.01,0.34,484.13
1054211334,0,0.08,490.89
1054402461,0.03,0.59,472.8
1054402462,0,0.04,485.3
1054412946,0,0.01,462.13
1054412947,0,0.03,476.03
1054549121,0,0.07,480.48
1054549122,0,0.03,480.36
1054549123,0,0.03,482.89
105469688,0,0.05,469.9
1054716334,0.01,0.23,489.45
1054762290,0,0.05,485.02
1054775532,0,0.09,492.41
1054776565,0,0.05,483.57
1054776615,0,0.09,491.84
1054776619,0,0.06,490.16
1054776620,0,0.08,491.93
1054782548,0.02,0.47,500.13
1054791458,0.01,0.24,546.79
1054791459,0,0.02,505.59
1055036567,0,0.08,543.58
1055036568,0,0.06,552.06
1055040312,0,0.07,527.44
1055065699,0,0.03,497.79
1055087822,0,0.02,485.95
1055087870,0,0.08,486.26
1055089222,0,0.05,475.65
1055092157,0,0.06,492.25
1055093563,0,0.04,455.91
1055134826,0,0.05,480.41
105518276,0,0.01,485.44
105518278,0,0.11,488.07
105518283,0,0.07,539.6
105518284,0.01,0.13,542.97
105518285,0,0.09,537.76
1055301407,0,0.05,612.68
1055301580,0,0.04,611.9
1055302207,0,0.06,610.26
1055302599,0,0.04,542.25
1055302849,0,0.03,539.93
1055302850,0,0.03,542.24
1055304388,0,0.02,609.72
1055348142,0,0.01,493.55
1055582856,0,0.02,460.67
1055621645,0,0.01,492.11
1055621646,0,0.03,488.7
1055967004,0,0.04,482.45
1056122499,0,0.1,367.22
10564808,0,0.02,504.17
10564869,0,0.09,507.3
1056570391,0,0.01,458.52
1056571152,0,0.06,456.09
1056572447,0,0.06,479.82
1056577310,0,0.01,435.61
1056607368,0,0.01,456.09
1056607875,0,0.02,453.94
1056607876,0,0.02,453.91
1056608264,0,0.03,451.4
1056608265,0,0.01,455.94
1056608426,0,0.02,451.11
1056612571,0,0.02,482.81
1056615726,0,0.02,562.26
